3672,1341,1026,1393,893,813,2312,860,1448,1189
2740,1036,1007,1334,798,709,2117,721,1258,1141
2047,891,848,1137,673,649,1707,625,1129,983
2511,1075,1052,1140,874,859,1860,804,1277,1249
3111,1088,1135,1336,858,836,2129,805,1339,1412
2461,931,869,1205,693,669,1852,706,1186,1043
2140,767,813,992,656,598,1893,613,982,914
19710,5830,3397,4671,3053,2170,6837,3285,4786,3287
3272,1073,861,1168,791,709,2089,740,1266,1146
7893,2282,1553,2166,1205,940,3063,1253,2057,1580
4133,1282,964,1368,803,716,2186,850,1393,1160
2643,1016,879,1090,765,689,2322,744,1229,1044
3161,1228,1146,1209,904,824,2076,865,1489,1279
3193,1225,1110,1360,870,860,1891,834,1482,1395
2419,949,894,1081,695,674,2105,731,1176,1055
21784,6279,3627,4490,3177,2326,6315,3618,4895,3367
1527,665,638,935,622,589,1588,613,1061,987
5617,1709,1172,1751,1056,830,2760,1034,1816,1493
2530,1003,949,1239,817,810,1909,838,1423,1333
2518,1079,890,1004,768,737,2158,846,1352,1151
1939,737,735,996,600,578,2001,550,973,872
2041,740,789,1060,615,569,1940,555,950,921
2168,855,876,1048,680,642,2009,649,1075,1009
2796,1153,1058,1353,872,812,2428,874,1467,1333
2624,1062,1003,1127,833,764,1879,793,1264,1229
6162,1951,1316,1786,1107,895,2421,1187,1941,1510
2539,1005,815,1249,660,631,1869,623,1069,917
2143,801,795,1076,628,632,2170,576,1015,1007
2625,1014,936,1098,805,737,1844,782,1404,1240
11816,3516,2186,3042,1802,1423,4030,1962,3102,2218
2810,1028,817,1130,752,688,2165,750,1337,1184
2636,1001,869,964,658,678,1928,720,1281,1047
2708,913,821,1146,716,684,2263,724,1205,1143
1560,562,484,628,451,435,1683,482,771,749
1488,628,648,881,528,520,1413,534,884,808
1729,628,582,896,498,487,1516,518,876,833
1632,774,713,933,571,593,1672,556,1044,958
5920,1721,1210,1865,1025,821,2903,1084,1684,1378
2809,1142,977,1497,901,847,1785,913,1512,1331
6386,2691,1991,2618,1881,1745,3842,1813,2908,2429
2872,1363,1117,1393,1062,1014,1783,1114,2020,1818
12858,3522,2031,3101,1691,1149,4423,1829,2883,1810
1995,868,754,842,650,594,1805,649,1056,942
